B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,lcc,lat,long,date
1541,781,236,509,341,842,2814,3336,3338,3371,3502,Cultivated and managed vegetation/agriculture (cropland),0.086704,37.719374,2021-01-20
5065,4523,4104,4152,4112,5161,5902,6301,5468,6447,8367,Cultivated and managed vegetation/agriculture (cropland),-0.779218,38.081325,2021-01-26
5310,4290,6592,6300,6104,6365,6289,6376,6088,6339,6739,Cultivated and managed vegetation/agriculture (cropland),-1.558995,38.117508,2021-03-16
594,346,571,447,360,470,899,1095,1340,1190,1282,Cultivated and managed vegetation/agriculture (cropland),-0.49409,37.460126,2021-02-23
3225,2288,780,1052,1304,1599,1822,2081,2226,2417,2543,"Open forest, unknown",-1.590588,38.332137,2021-04-16
1856,1489,470,736,731,1160,1856,2081,2094,2236,2182,"Open forest, unknown",0.47872,35.985834,2021-03-01
5104,5032,2230,3046,3660,3700,3926,3997,4208,4118,3736,Urban / built up,2.386572,35.64322,2021-04-07
3080,2180,739,1094,1278,1681,2288,2507,2742,2801,2786,Cultivated and managed vegetation/agriculture (cropland),0.307613,36.373337,2021-03-04
2599,1891,653,1072,1426,1521,2338,2620,2502,2795,2680,Cultivated and managed vegetation/agriculture (cropland),-0.920046,38.12261,2021-02-01
3329,2292,7448,6932,6612,6753,6754,6951,6820,6829,2726,Urban / built up,3.506922,38.75144,2021-03-09
5622,5037,7876,7540,7016,7326,7209,7060,7456,6911,15919,Urban / built up,-0.475457,37.553465,2021-02-28
2326,1268,525,890,830,1284,2595,2923,3100,3014,3214,"Open forest, unknown",1.222518,36.54015,2020-09-17
761,506,465,515,532,681,887,1037,995,1061,718,"Open forest, unknown",4.20179,34.388149,2021-04-02
3522,2969,3620,3440,3350,3569,3627,3658,3964,3766,6534,Cultivated and managed vegetation/agriculture (cropland),-0.590182,36.127638,2021-04-07
3685,2900,643,1020,1814,2087,2451,2652,2608,2769,2931,"Open forest, unknown",3.503397,38.970332,2021-03-02
5393,4246,6468,6180,5932,6574,6474,6413,6464,6357,12430,"Open forest, unknown",-3.749401,39.658854,2021-02-11
3312,2747,1010,1418,1878,2010,2513,2615,3030,2994,2835,Urban / built up,0.019467,37.07847,2021-03-28
3588,2870,695,1048,1162,1952,2632,3085,3406,3278,3349,"Open forest, unknown",1.757378,37.326006,2021-02-17
6310,4890,9328,8968,8560,8785,8517,8463,8400,8321,12267,Cultivated and managed vegetation/agriculture (cropland),-0.52538,37.742649,2021-03-20
6548,5253,9720,9088,8600,8941,8586,8408,8376,8200,11120,Urban / built up,-0.451504,39.641215,2021-02-17
3654,3100,3674,3604,3488,3679,4072,4382,4276,4370,4001,Cultivated and managed vegetation/agriculture (cropland),-0.939257,38.086985,2021-02-08
4572,4154,4124,4040,4046,4347,4486,4497,4536,4552,6478,Cultivated and managed vegetation/agriculture (cropland),0.036593,37.110001,2021-03-19
3286,2417,648,947,1094,1644,2576,3014,2796,3390,2918,"Open forest, unknown",-1.280544,38.218367,2021-02-14
