lat,long,date,lcc
-0.618746,37.880187,3/29/2021,Urban / built up
0.085329,37.816967,3/1/2021,Cultivated and managed vegetation/agriculture (cropland)
4.201911,34.384669,2/8/2021,"Open forest, unknown"
2.238153,38.00542,2/10/2021,"Open forest, unknown"
3.46917,39.09585,2/15/2021,Cultivated and managed vegetation/agriculture (cropland)
2.118034,36.152852,3/17/2021,"Open forest, unknown"
0.014443,37.070215,12/29/2020,Urban / built up
2.344779,37.989468,4/14/2021,"Open forest, unknown"
-0.735041,37.729513,3/2/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.560391,37.480585,1/28/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.459517,39.641329,3/24/2021,Urban / built up
-0.959979,38.068564,3/10/2021,Cultivated and managed vegetation/agriculture (cropland)
3.50604,38.979266,1/4/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.27999,37.262621,1/25/2021,Cultivated and managed vegetation/agriculture (cropland)
3.99752,37.270837,4/21/2021,Urban / built up
1.97621,36.065849,3/29/2021,"Open forest, unknown"
1.739862,40.049836,2/22/2021,Urban / built up
0.354792,37.559935,2/20/2021,Urban / built up
-0.030394,37.11636,3/31/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.386045,37.363091,2/1/2021,Cultivated and managed vegetation/agriculture (cropland)
0.602171,37.242198,2/22/2021,Urban / built up
3.10821,35.608422,3/2/2021,Urban / built up
0.038115,36.381457,2/17/2021,Urban / built up
3.123937,35.592017,4/5/2021,Urban / built up
3.320751,37.067934,2/15/2021,Urban / built up
4.111532,40.869998,2/6/2021,Urban / built up
0.358019,37.595041,2/10/2021,Urban / built up
-0.605422,38.134528,2/25/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.359329,38.007906,3/18/2021,Urban / built up
2.326897,37.990522,4/20/2021,Urban / built up
0.407348,36.378928,4/14/2021,Urban / built up
3.464795,39.240131,2/17/2021,Cultivated and managed vegetation/agriculture (cropland)
0.431551,35.96397,2/8/2021,"Open forest, unknown"
2.321972,38.012844,1/18/2021,"Open forest, unknown"
0.798693,36.414018,1/7/2021,"Open forest, unknown"
0.351843,37.569604,1/1/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.511463,37.743604,4/12/2021,Cultivated and managed vegetation/agriculture (cropland)
0.764053,36.435237,3/26/2021,"Open forest, unknown"
3.50432,38.75061,3/2/2021,Urban / built up
2.351298,38.011739,12/24/2020,Cultivated and managed vegetation/agriculture (cropland)
0.54392,35.751176,2/16/2021,"Open forest, unknown"
1.749852,40.058744,3/18/2021,Urban / built up
-1.366727,38.006717,4/7/2021,Urban / built up
-1.809971,37.454999,2/19/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.136483,36.165442,4/6/2021,"Open forest, unknown"
3.603152,37.338588,1/5/2021,Urban / built up
2.293637,38.029704,2/27/2021,Cultivated and managed vegetation/agriculture (cropland)
3.118765,35.595525,3/23/2021,Urban / built up
3.522002,39.047774,4/2/2021,Urban / built up
1.996605,36.121645,2/10/2021,"Open forest, unknown"
0.342424,37.579925,4/1/2021,Urban / built up
-0.768026,37.329769,3/15/2021,Cultivated and managed vegetation/agriculture (cropland)
2.327174,37.992288,4/5/2021,Urban / built up
2.115178,36.152346,3/8/2021,"Open forest, unknown"
0.000931,37.07271,4/7/2021,Cultivated and managed vegetation/agriculture (cropland)
3.518187,39.055264,3/30/2021,Urban / built up
3.124847,35.61317,3/11/2021,Urban / built up
1.764192,37.321741,4/24/2021,"Open forest, unknown"
-0.351101,36.195086,4/15/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.802537,38.311428,1/18/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.454889,39.637637,3/23/2021,Urban / built up
-1.06642,37.599417,2/9/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.447384,39.644664,3/29/2021,Urban / built up
0.764913,36.436702,2/3/2021,"Open forest, unknown"
3.524243,39.03271,1/22/2021,"Open forest, unknown"
-0.489818,37.448377,4/14/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.370406,37.627123,4/10/2021,Cultivated and managed vegetation/agriculture (cropland)
0.619175,35.791647,4/6/2021,"Open forest, unknown"
-0.28534,36.063915,1/28/2021,Urban / built up
0.492648,35.76755,2/25/2021,"Open forest, unknown"
-0.504184,37.647333,2/15/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.763715,36.2427,4/10/2021,Cultivated and managed vegetation/agriculture (cropland)
2.241788,35.43674,2/25/2021,Urban / built up
2.344497,37.983436,12/23/2020,"Open forest, unknown"
3.153894,39.251211,1/28/2021,Urban / built up
1.980664,36.092854,3/5/2021,"Open forest, unknown"
2.328983,37.983733,2/16/2021,Urban / built up
0.483026,35.769842,2/9/2021,Cultivated and managed vegetation/agriculture (cropland)
-0.576813,38.262936,2/24/2021,Cultivated and managed vegetation/agriculture (cropland)
0.35887,37.594831,2/4/2021,Urban / built up
-1.019643,37.910944,3/26/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.521963,38.1416,3/5/2021,Cultivated and managed vegetation/agriculture (cropland)
0.451649,35.967818,2/17/2021,"Open forest, unknown"
-0.176285,37.703278,1/5/2021,Cultivated and managed vegetation/agriculture (cropland)
0.491917,35.74558,2/18/2021,"Open forest, unknown"
-1.092607,39.93871,2/5/2021,Urban / built up
-1.592047,40.51662,3/10/2021,Urban / built up
2.212665,37.888705,2/27/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.368369,38.003268,2/5/2021,Urban / built up
2.244082,37.998825,4/16/2021,"Open forest, unknown"
3.129712,35.619395,3/5/2021,Urban / built up
-0.98272,38.071273,2/27/2021,Cultivated and managed vegetation/agriculture (cropland)
-1.577797,38.033764,3/17/2021,Cultivated and managed vegetation/agriculture (cropland)
